id, title, body, body:summary, field_image, field_tags, field_publication_date, field_attachment, field_news_category, field_promoted, author
1, "GoalGorilla is de nieuwe huisleverancier van WIM", "<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span id=""docs-internal-guid-6d83ae99-a426-815d-1789-99982bb96eb1""><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;"">Het doel van de vereniging is het realiseren van moderne, integrale, publieke dienstverlening. Dit doet zij door onder andere de samenwerking en het hergebruik van techniek, kennis en middelen tussen gemeenten te stimuleren. De vereniging zet de koers uit voor WIM en bewaakt de ontwikkeling van de distributie.</span></span><br>&nbsp;</p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span id=""docs-internal-guid-6d83ae99-a426-815d-1789-99982bb96eb1""><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;"">In 2013 is Dimpact gestart met WIM 1.0, welke herbruikbaar is voor alle gemeenten. Dit is gedaan in samenwerking met Dutch Open Projects (DOP). DOP heeft veel betekent voor WIM. Onder andere door samen te werken met verschillende partijen in het open WIM-leveranciersnetwerk. Momenteel bestaat het WIM-multi vendorship uit <a href=""http://aserio.nl/wat-we-doen/dimpact-diensten/"" class=""ext"">Aserio,<span class=""ext""><span class=""element-invisible""> (link is external)</span></span></a> <a href=""https://dop.nu/"" class=""ext"">Dutch Open Projects<span class=""ext""><span class=""element-invisible""> (link is external)</span></span></a>, <a href=""http://www.goalgorilla.com/"" class=""ext"">GoalGorilla<span class=""ext""><span class=""element-invisible""> (link is external)</span></span></a>, <a href=""http://www.one-agency.be/nl"" class=""ext"">One Agency<span class=""ext""><span class=""element-invisible""> (link is external)</span></span></a> en <a href=""http://www.wowww.nl/"" class=""ext"">Wowww<span class=""ext""><span class=""element-invisible""> (link is external)</span></span></a>.</span></span></p><p><span id=""docs-internal-guid-6d83ae99-a426-815d-1789-99982bb96eb1""><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;"">Uitgangspunt bij de ontwikkeling was leveranciersonafhankelijkheid. Daarom wordt het stokje overgedragen aan de volgende partij. Alle betrokken partijen geloven dat dit bijdraagt aan de kwaliteit van WIM, een sterker leveranciersnetwerk en de beoogde leveranciersonafhankelijkheid. Alle partijen binnen de WIM-samenwerking zijn betrokken geweest bij de keuze voor de volgende huisleverancier. Na een offerteronde is overeenstemming bereikt om de opdracht te geven aan </span><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; font-weight: 700; vertical-align: baseline; white-space: pre-wrap;"">GoalGorilla</span><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;"">.</span></span></p><p><span id=""docs-internal-guid-6d83ae99-a426-815d-1789-99982bb96eb1""><a href=""http://www.goalgorilla.com/"" style=""text-decoration:none;"" class=""ext""><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; color: rgb(17, 85, 204); text-decoration: underline; vertical-align: baseline; white-space: pre-wrap;"">GoalGorilla</span><span class=""ext""><span class=""element-invisible""> (link is external)</span></span></a><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;""> gaat per 1 juli 2016 het huisleverancierschap overnemen. Dit betekent dat zij met de vereniging en de WIM-leveranciers verder bouwt aan een verbeterde versie van WIM: WIM 2.0. Tevens helpt zij de vereniging met het beheer van de WIM 2.0 standaard. Ook draagt GoalGorilla in deze rol actief bij aan het groeiende WIM-leveranciersnetwerk.</span></span></p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span id=""docs-internal-guid-6d83ae99-a426-815d-1789-99982bb96eb1""><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;"">Meer informatie: </span><a href=""http://www.wimgemeenten.nl"" style=""text-decoration:none;""><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; color: rgb(17, 85, 204); text-decoration: underline; vertical-align: baseline; white-space: pre-wrap;"">www.wimgemeenten.nl</span></a><span style=""font-size: 14.6667px; font-family: 'Roboto Slab'; vertical-align: baseline; white-space: pre-wrap;""> </span></span></p><div>&nbsp;</div>", "Het Website en Intranet Model (WIM) is een vrij herbruikbare website en intranet ontworpen door, voor en van gemeenten. WIM is gebaseerd op open source, Drupal. Met WIM realiseert elke gemeente snel en tegen minimale kosten online toegankelijkheid. WIM is gratis beschikbaar. De WIM-websites en het WIM-samenwerkingsverband zijn initiatieven van Coöperatieve Vereniging Dimpact. Met ruim 30 leden vertegenwoordigt zij twee miljoen inwoners.", "/drupal-icon.png", "2,4", "2016-05-12 00:00:00", "", "", "0", ""
2, "Financiële ondersteuning voor huur pand Voedselbank", "<p>De Voedselbank is momenteel tijdelijk gehuisvest aan de Westerlaan. In verband met &nbsp;met renovatieplannen is de huur per 1 februari 2017 opgezegd. Samen met de gemeente is de Voedselbank op zoek gegaan naar een geschikt pand dat door de Voedselbank (bij voorkeur gratis) gebruikt kan worden.</p><p>De enige mogelijkheid bleek een vrijstaand huurpand aan de Stephensonstraat te zijn. Mede door de regels voor voedselkwaliteit van de Vereniging Nederlandse Voedselbanken &nbsp;en van de voedsel- en warenautoriteit zijn er investeringen nodig die zich lastig laten combineren met gratis, en daarmee vaak tijdelijk, gebruik van het pand.</p><p>Bovendien legt het voortdurend verhuizen een te grote claim op de organisatie qua mankracht en financiële middelen. Met het pand aan de George Stephensonstraat is voor &nbsp;langere termijn onderdak gevonden van waaruit de Voedselbank de voedselpakketten aan haar klanten gratis kan blijven verstrekken. Omdat de gemeente groot belang hecht aan de inspanningen van de voedselbank is besloten tijdelijk ondersteuning te bieden.</p>", "Het college van burgemeester en wethouders ondersteunt de Voedselbank tijdelijk met de huur van een nieuw pand en stelt hiervoor van 2017 tot 2020 in totaal maximaal € 60.000,- subsidie beschikbaar. Daarna moet de voedselbank zichzelf weer helemaal kunnen bedruipen.", "/algemeen.jpg", "1,3", "2016-06-05 00:00:00", "", "3", "0", "2"
